Causas (lista reducida),Sexo,Tamaño de municipio y capital de residencia,Edad,Total
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,Menores de 1 año,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 1 a 4 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 5 a 9 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 10 a 14 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 15 a 19 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 20 a 24 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 25 a 29 años,1
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 30 a 34 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 35 a 39 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 40 a 44 años,0
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 45 a 49 años,1
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 50 a 54 años,1
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 55 a 59 años,9
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 60 a 64 años,9
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 65 a 69 años,21
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 70 a 74 años,27
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 75 a 79 años,47
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 80 a 84 años,71
00A Covid-19 Virus identificado,Hombres,Municipio menor o igual a 10.000 habitantes,De 85 a 89 años,91
