Causas (lista reducida);Sexo;Mes de fallecimiento;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Todos los meses;223.278
001-102 I-XXII.Todas las causas;Ambos sexos;Enero;48.400
001-102 I-XXII.Todas las causas;Ambos sexos;Febrero;35.405
001-102 I-XXII.Todas las causas;Ambos sexos;Marzo;37.565
001-102 I-XXII.Todas las causas;Ambos sexos;Abril;34.545
001-102 I-XXII.Todas las causas;Ambos sexos;Mayo;34.812
001-102 I-XXII.Todas las causas;Ambos sexos;Junio;32.551
001-102 I-XXII.Todas las causas;Hombres;Todos los meses;111.698
001-102 I-XXII.Todas las causas;Hombres;Enero;23.755
001-102 I-XXII.Todas las causas;Hombres;Febrero;17.668
001-102 I-XXII.Todas las causas;Hombres;Marzo;18.779
001-102 I-XXII.Todas las causas;Hombres;Abril;17.306
001-102 I-XXII.Todas las causas;Hombres;Mayo;17.597
001-102 I-XXII.Todas las causas;Hombres;Junio;16.593
001-102 I-XXII.Todas las causas;Mujeres;Todos los meses;111.580
001-102 I-XXII.Todas las causas;Mujeres;Enero;24.645
001-102 I-XXII.Todas las causas;Mujeres;Febrero;17.737
001-102 I-XXII.Todas las causas;Mujeres;Marzo;18.786
001-102 I-XXII.Todas las causas;Mujeres;Abril;17.239
001-102 I-XXII.Todas las causas;Mujeres;Mayo;17.215
001-102 I-XXII.Todas las causas;Mujeres;Junio;15.958
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Todos los meses;6.420
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Enero;2.046
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Febrero;808
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Marzo;697
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Abril;640
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Mayo;790
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Junio;1.439
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Todos los meses;3.205
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Enero;1.025
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Febrero;382
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Marzo;326
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Abril;313
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Mayo;420
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Junio;739
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Todos los meses;3.215
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Enero;1.021
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Febrero;426
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Marzo;371
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Abril;327
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Mayo;370
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Junio;700
00A Covid-19 Virus identificado;Ambos sexos;Todos los meses;2.782
00A Covid-19 Virus identificado;Ambos sexos;Enero;1.183
00A Covid-19 Virus identificado;Ambos sexos;Febrero;233
00A Covid-19 Virus identificado;Ambos sexos;Marzo;112
00A Covid-19 Virus identificado;Ambos sexos;Abril;87
00A Covid-19 Virus identificado;Ambos sexos;Mayo;224
