Causas (lista reducida),Sexo,Tamaño de municipio y capital de residencia,Edad,Total
001-102 I-XXII.Todas las causas,Ambos sexos,Total,Todas las edades,223278
001-102 I-XXII.Todas las causas,Ambos sexos,Total,Menores de 1 año,507
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 1 a 4 años,96
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 5 a 9 años,76
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 10 a 14 años,107
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 15 a 19 años,213
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 20 a 24 años,324
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 25 a 29 años,339
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 30 a 34 años,550
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 35 a 39 años,805
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 40 a 44 años,1459
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 45 a 49 años,2720
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 50 a 54 años,4381
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 55 a 59 años,7192
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 60 a 64 años,10493
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 65 a 69 años,13348
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 70 a 74 años,17057
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 75 a 79 años,24473
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 80 a 84 años,30938
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 85 a 89 años,42323
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 90 a 94 años,43152
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 95 años y más,22725
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Todas las edades,54920
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Menores de 1 año,84
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 1 a 4 años,17
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 5 a 9 años,10
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 10 a 14 años,18
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 15 a 19 años,41
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 20 a 24 años,58
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 25 a 29 años,52
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 30 a 34 años,101
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 35 a 39 años,161
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 40 a 44 años,297
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 45 a 49 años,543
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 50 a 54 años,917
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 55 a 59 años,1567
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 60 a 64 años,2276
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 65 a 69 años,2941
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 70 a 74 años,3678
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 75 a 79 años,5404
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 80 a 84 años,7373
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 85 a 89 años,11068
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 90 a 94 años,12014
