Causas (lista reducida),Sexo,Tamaño de municipio y capital de residencia,Edad,Total
001-102 I-XXII.Todas las causas,Ambos sexos,Total,Menores de 1 año,507.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 1 a 4 años,96.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 5 a 9 años,76.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 10 a 14 años,107.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 15 a 19 años,213.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 20 a 24 años,324.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 25 a 29 años,339.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 30 a 34 años,550.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 35 a 39 años,805.0
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 40 a 44 años,1.459
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 45 a 49 años,2.72
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 50 a 54 años,4.381
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 55 a 59 años,7.192
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 60 a 64 años,10.493
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 65 a 69 años,13.348
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 70 a 74 años,17.057
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 75 a 79 años,24.473
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 80 a 84 años,30.938
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 85 a 89 años,42.323
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 90 a 94 años,43.152
001-102 I-XXII.Todas las causas,Ambos sexos,Total,De 95 años y más,22.725
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Todas las edades,54.92
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Menores de 1 año,84.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 1 a 4 años,17.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 5 a 9 años,10.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 10 a 14 años,18.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 15 a 19 años,41.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 20 a 24 años,58.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 25 a 29 años,52.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 30 a 34 años,101.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 35 a 39 años,161.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 40 a 44 años,297.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 45 a 49 años,543.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 50 a 54 años,917.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 55 a 59 años,1.567
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 60 a 64 años,2.276
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 65 a 69 años,2.941
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 70 a 74 años,3.678
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 75 a 79 años,5.404
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 80 a 84 años,7.373
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 85 a 89 años,11.068
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 90 a 94 años,12.014
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 95 años y más,6.3
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,Todas las edades,22.126
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,Menores de 1 año,49.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 1 a 4 años,6.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 5 a 9 años,10.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 10 a 14 años,11.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 15 a 19 años,27.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 20 a 24 años,31.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 25 a 29 años,24.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 30 a 34 años,45.0
