Customer ID,Gender_x,Age_x,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Transaction ID,Date,Product Category,Quantity,Price per Unit,Total Amount,Product,Stock
101,Female,29,New York,Gold,1011.7778947895232,14,4.6,True,25,Satisfied,101,2023-01-29,Clothing,1,328.94481446220806,328.94481446220806,Adidas Essentials Hoodie,12
102,Male,34,Los Angeles,Silver,841.3048107918229,11,4.1,False,18,Neutral,102,2023-04-28,Beauty,2,24.12098050035373,48.24196100070746,Maybelline Lash Sensational Mascara,344
103,Female,43,Chicago,Bronze,542.0100825217058,9,3.4,True,42,Unsatisfied,103,2023-01-17,Clothing,1,25.643922014396274,25.643922014396274,Nike Dri-FIT Legend T-Shirt,119
104,Male,30,San Francisco,Gold,1584.1105754768585,19,4.7,False,12,Satisfied,104,2023-06-11,Beauty,2,504.2014008178538,1008.4028016357076,Maybelline Lash Sensational Mascara,489
105,Male,27,Miami,Silver,765.595921013643,13,4.0,True,55,Unsatisfied,105,2023-07-25,Electronics,1,464.79605751026673,464.79605751026673,Sony WH-1000XM5 Headphones,38
106,Female,37,Houston,Bronze,443.7040266827415,8,3.1,False,22,Neutral,106,2023-05-18,Clothing,1,49.604611901969726,49.604611901969726,Zara Pleated Midi Skirt,478
107,Female,31,New York,Gold,1106.64232013355,15,4.5,True,28,Satisfied,107,2023-02-03,Clothing,3,275.4173107803068,826.2519323409205,Adidas Essentials Hoodie,389
108,Male,35,Los Angeles,Silver,777.4362035888971,12,4.2,False,14,Neutral,108,2023-04-19,Beauty,3,26.096886898783197,78.29066069634958,Revlon Super Lustrous Lipstick,289
109,Female,41,Chicago,Bronze,460.3930430461789,10,3.6,True,40,Unsatisfied,109,2023-10-18,Electronics,3,513.9657257503553,1541.8971772510658,Samsung Galaxy S21 Ultra,463
110,Male,28,San Francisco,Gold,1580.641052507855,21,4.8,False,9,Satisfied,110,2023-06-11,Clothing,3,328.9625506057401,986.8876518172204,Adidas Essentials Hoodie,112
111,Male,32,Miami,Silver,686.3620194873071,11,3.8,True,34,Unsatisfied,111,2023-04-19,Electronics,3,451.9495109308398,1355.848532792519,Sony WH-1000XM5 Headphones,254
112,Female,36,Houston,Bronze,451.6654741561702,7,3.2,False,20,Neutral,112,2023-12-02,Clothing,2,548.1447460297568,1096.2894920595136,Zara Pleated Midi Skirt,403
113,Female,30,New York,Gold,1151.9932990439518,16,4.3,True,21,Satisfied,113,2023-09-13,Electronics,2,24.21149922222888,48.42299844445776,Sony WH-1000XM5 Headphones,242
114,Male,33,Los Angeles,Silver,765.55298921863,13,4.4,False,15,Satisfied,114,2023-07-22,Beauty,3,23.53880581988533,70.61641745965599,Maybelline Lash Sensational Mascara,142
115,Female,42,Chicago,Bronze,567.8607635270624,9,3.5,True,38,Unsatisfied,115,2023-11-26,Clothing,3,542.3984729225093,1627.1954187675278,Adidas Essentials Hoodie,113
116,Male,29,San Francisco,Gold,1443.9301109293858,18,4.9,False,11,Satisfied,116,2023-08-23,Clothing,1,31.779488088971423,31.779488088971423,Zara Pleated Midi Skirt,45
117,Male,26,Miami,Silver,729.0987734162321,12,3.7,True,48,Unsatisfied,117,2023-03-15,Electronics,2,498.3641839365644,996.7283678731288,Logitech MX Master 3S Mouse,393
118,Female,38,Houston,Bronze,458.9941714309787,8,3.0,False,25,Neutral,118,2023-05-16,Electronics,3,546.2453503756293,1638.736051126888,Apple MacBook Pro 14'' M2,306
119,Female,32,New York,Gold,1167.7754720450791,14,4.7,True,29,Satisfied,119,2023-03-13,Clothing,2,46.657593915418886,93.31518783083776,Levi's 511 Slim Fit Jeans,375
120,Male,34,Los Angeles,Silver,832.2350350572121,11,4.0,False,16,Neutral,120,2023-05-07,Beauty,1,50.785611545036126,50.785611545036126,Revlon Super Lustrous Lipstick,262
121,Female,43,Chicago,Bronze,472.7246007313959,10,3.3,True,41,Unsatisfied,121,2023-10-15,Electronics,3,54.752170549555146,164.25651164866542,Sony WH-1000XM5 Headphones,55
122,Male,30,San Francisco,Gold,1506.4421350560872,20,4.8,False,13,Satisfied,122,2023-10-03,Electronics,4,30.84964301500927,123.39857206003708,Sony WH-1000XM5 Headphones,337
123,Male,27,Miami,Silver,761.5907277035885,13,4.1,True,54,Unsatisfied,123,2023-05-15,Electronics,1,28.711435881396923,28.711435881396923,Apple MacBook Pro 14'' M2,398
124,Female,37,Houston,Bronze,393.9764456190512,7,3.4,False,23,Neutral,124,2023-10-27,Clothing,3,514.7449242637103,1544.234772791131,Zara Pleated Midi Skirt,203
125,Female,31,New York,Gold,1162.3810586287923,15,4.6,True,27,Satisfied,125,2023-08-08,Clothing,2,46.67855105009583,93.35710210019164,Levi's 511 Slim Fit Jeans,49
126,Male,35,Los Angeles,Silver,832.8601964363548,12,4.3,False,13,Neutral,126,2023-10-26,Clothing,2,27.274268359556768,54.548536719113535,Levi's 511 Slim Fit Jeans,23
127,Female,41,Chicago,Bronze,479.99260563913793,9,3.6,True,39,Unsatisfied,127,2023-07-24,Clothing,1,23.25402281575617,23.25402281575617,Adidas Essentials Hoodie,183
