edad,genero,horas_estudio,asistencia,nivel_socioeconomico,acceso_internet,actividades_extracurriculares,estado_emocional,nota_promedio_anterior,apoyo_familiar,rendimiento_academico
21,0,0.2,84,2,0,1,3,77.8,1,Bajo
18,1,5.4,55,3,1,1,1,69.8,1,Bajo
22,1,4.8,72,1,0,0,1,77.7,3,Medio
19,0,0.7,66,3,0,0,3,82.3,1,Bajo
21,1,7.4,73,1,1,0,3,98.8,3,Medio
24,0,3.6,89,2,1,1,1,86.6,1,Medio
17,0,5.4,78,2,0,1,1,84.9,1,Medio
21,0,7.1,79,2,1,0,3,54.8,1,Bajo
22,1,1.0,73,2,0,0,3,66.0,2,Bajo
19,0,6.8,84,1,0,1,1,64.0,1,Bajo
18,0,5.8,96,3,1,0,2,55.0,2,Bajo
22,0,6.7,86,3,1,0,1,93.6,2,Alto
22,1,4.0,51,1,1,0,2,90.7,3,Bajo
17,0,0.3,70,1,1,1,2,89.5,2,Bajo
20,0,5.4,89,3,0,0,3,58.8,2,Bajo
19,0,3.0,90,3,0,0,2,80.0,3,Medio
16,1,3.2,54,1,0,1,3,76.4,2,Bajo
22,0,3.5,84,1,0,0,1,80.6,2,Medio
20,0,3.9,93,1,1,1,3,89.4,3,Medio
16,1,5.3,84,1,0,0,3,54.7,1,Bajo
19,1,5.8,68,1,1,0,2,59.6,1,Bajo
15,1,6.2,65,3,1,0,3,64.1,2,Bajo
24,0,5.4,74,3,1,1,3,73.5,3,Medio
20,0,6.4,65,2,0,0,2,79.3,1,Medio
23,0,1.0,80,2,1,1,1,65.3,2,Bajo
15,0,6.7,82,3,0,0,1,55.5,3,Bajo
24,1,3.1,66,3,1,1,1,75.4,2,Medio
17,0,4.2,70,2,0,1,3,53.0,1,Bajo
21,1,3.5,84,2,0,0,1,68.2,2,Medio
18,0,3.8,98,2,1,1,1,52.2,3,Bajo
23,0,2.3,72,1,1,1,2,60.9,2,Bajo
17,0,1.4,98,2,0,1,1,55.5,1,Bajo
19,1,0.8,65,1,1,1,3,72.3,3,Bajo
17,1,3.6,87,1,1,1,3,61.8,2,Bajo
21,1,1.0,99,2,1,0,1,52.7,2,Bajo
19,1,2.0,63,3,0,0,2,64.9,1,Bajo
23,0,1.1,89,2,0,1,1,94.6,1,Bajo
21,0,0.9,90,2,1,1,2,92.1,2,Bajo
16,0,7.1,99,2,1,0,1,94.1,3,Alto
18,0,5.4,82,2,1,0,3,69.6,3,Medio
23,0,7.4,70,2,0,1,3,93.9,1,Medio
16,1,5.2,66,1,0,1,1,97.6,3,Medio
24,1,6.8,53,2,1,0,1,97.9,3,Bajo
23,0,4.4,65,3,1,1,2,56.2,2,Bajo
24,0,3.7,79,3,1,0,3,91.2,2,Medio
19,0,4.2,93,1,1,0,3,66.8,2,Medio
16,0,2.6,94,1,1,0,1,72.5,1,Medio
18,1,5.3,83,2,1,0,2,82.8,3,Alto
21,0,7.2,71,2,0,1,3,87.9,3,Medio
22,0,6.3,93,1,1,1,1,95.0,3,Alto
17,0,3.7,91,3,0,1,1,97.9,2,Medio
15,0,7.6,78,2,1,1,2,88.5,3,Medio
18,1,7.9,96,3,1,0,1,62.0,2,Bajo
16,0,3.9,54,1,1,1,3,75.4,1,Bajo
22,1,6.9,50,3,0,1,3,67.3,1,Bajo
18,1,0.0,89,3,0,0,3,93.3,3,Bajo
16,0,0.5,74,3,1,0,2,74.8,1,Bajo
20,0,0.2,99,2,1,0,2,92.8,3,Bajo
20,0,6.2,55,1,0,1,1,98.7,2,Bajo
24,0,0.6,72,2,1,1,3,64.4,2,Bajo
18,0,0.1,82,3,0,0,2,51.5,1,Bajo
20,1,1.2,63,2,1,0,2,60.7,3,Bajo
16,1,2.5,91,2,0,1,3,82.0,3,Medio
24,1,3.7,85,2,1,1,2,90.5,1,Medio
16,1,0.5,67,1,1,0,1,87.4,3,Bajo
24,1,4.0,89,1,0,1,1,90.1,3,Medio
18,0,2.0,93,3,1,1,2,96.2,3,Bajo
22,0,2.2,59,2,0,0,1,61.2,3,Bajo
21,1,6.6,94,3,0,1,1,52.5,3,Bajo
23,0,7.9,88,2,0,1,2,66.4,2,Medio
22,0,3.7,98,3,0,0,2,92.7,3,Medio
19,1,2.6,61,1,0,1,3,86.4,1,Medio
16,1,7.5,87,3,0,0,1,51.7,1,Bajo
19,1,4.0,72,1,0,1,1,57.7,2,Bajo
22,0,5.8,56,2,1,0,2,96.5,3,Bajo
24,1,3.3,94,2,0,0,3,74.8,3,Medio
23,1,1.6,95,2,0,1,1,82.0,2,Bajo
23,0,5.2,74,3,0,1,1,54.7,1,Bajo
15,0,5.3,62,3,1,0,2,78.8,1,Medio
23,1,3.7,87,3,0,1,3,92.3,2,Medio
21,0,2.2,68,1,0,0,1,95.1,3,Medio
23,1,6.7,94,2,1,1,1,72.5,3,Medio
22,0,2.2,71,2,1,1,1,79.3,1,Medio
15,1,5.3,90,1,0,1,1,86.5,2,Alto
22,0,3.1,60,1,1,1,3,69.9,1,Bajo
22,0,3.8,91,2,1,0,2,64.6,2,Bajo
17,0,1.7,52,2,1,0,1,54.5,3,Bajo
15,1,5.2,68,1,1,1,3,59.8,3,Bajo
22,1,1.8,76,1,0,1,1,99.1,2,Bajo
17,1,3.9,56,2,0,0,2,93.6,1,Bajo
17,0,2.6,86,2,0,1,2,67.3,1,Medio
15,0,7.7,76,1,0,0,2,91.5,1,Medio
19,0,7.9,96,2,0,1,1,88.2,1,Medio
24,1,6.0,83,1,0,0,2,98.4,1,Medio
21,0,7.9,60,2,0,1,3,52.0,2,Bajo
24,1,0.9,87,3,0,1,3,79.0,1,Bajo
23,1,7.9,54,3,1,0,1,85.0,1,Bajo
21,1,0.8,56,2,1,1,2,91.5,3,Bajo
23,1,3.3,85,1,1,1,1,90.1,3,Medio
22,1,1.9,54,3,0,1,1,63.8,1,Bajo
16,0,7.6,54,1,0,1,1,85.2,3,Bajo
15,0,5.1,76,3,0,0,1,90.5,2,Medio
21,0,4.8,78,3,0,0,3,75.8,2,Medio
21,0,8.0,76,3,0,0,1,75.1,3,Medio
22,0,4.9,81,2,0,0,1,72.1,3,Medio
19,0,5.2,74,2,0,1,1,60.4,3,Bajo
17,1,0.4,91,1,0,1,2,91.7,3,Bajo
22,0,6.9,99,2,1,0,3,75.1,3,Medio
20,1,7.8,83,1,0,1,1,56.7,1,Bajo
17,1,7.7,64,3,0,0,1,95.7,1,Medio
15,1,1.8,90,2,0,1,3,92.2,3,Bajo
17,1,1.8,83,3,0,0,2,71.1,3,Bajo
19,1,2.9,84,1,0,0,2,89.1,2,Medio
17,0,2.5,69,2,0,0,2,58.3,3,Bajo
15,0,2.4,73,2,1,1,1,98.6,3,Medio
19,0,4.8,83,3,1,0,1,54.3,3,Bajo
24,1,6.4,83,2,0,0,1,94.1,2,Alto
