ID,Year,Mileage,EngineSize,FuelType,Transmission,Horsepower,Price
1,2006,126445,2.9,3,0,56,45394
2,2019,25945,5.2,0,0,53,37736
3,2014,236273,3.5,3,1,300,96365
4,2010,183549,2.2,0,0,231,31244
5,2007,89180,3.5,0,0,153,63906
6,2020,80453,1.7,0,1,101,14822
7,2006,95404,4.5,0,0,131,28883
8,2018,218485,2.7,2,0,385,16438
9,2022,154296,2.3,1,0,97,12103
10,2010,13052,5.8,1,0,400,28627
11,2010,37272,4.9,3,1,266,41279
12,2020,51150,4.9,1,1,371,55303
13,2003,237276,4.1,1,0,415,66951
14,2007,158388,5.2,2,1,430,54429
15,2002,194461,4.8,0,1,231,13522
16,2021,204404,4.0,0,1,292,45499
17,2020,148312,5.8,0,0,269,71406
18,2001,107095,2.0,1,0,257,35135
19,2011,78774,5.7,1,1,176,44013
20,2005,53175,3.0,3,1,231,13568
21,2001,141637,3.6,2,1,405,67719
22,2020,228370,1.6,2,1,478,89556
23,2000,212166,3.7,3,1,345,98587
24,2011,26375,4.1,3,1,84,74629
25,2021,35710,6.0,3,1,329,14013
26,2011,190967,5.9,0,0,212,33673
27,2016,217711,5.8,0,0,399,56015
28,2009,156246,2.7,0,0,470,66085
29,2015,117026,6.0,0,0,252,91143
30,2014,228401,3.3,3,1,414,32779
31,2014,37597,5.3,3,0,211,67918
32,2018,84289,2.1,3,1,279,96054
33,2011,179469,3.5,0,0,408,20703
34,2022,212926,5.8,0,0,457,11495
35,2019,174141,5.7,1,1,398,53530
36,2002,95687,4.4,3,1,53,51434
37,2004,128968,5.0,2,0,410,74289
38,2018,50274,1.9,2,0,483,14425
39,2006,215309,4.6,1,0,127,66476
40,2020,213570,4.1,0,0,201,56221
41,2008,179269,1.5,3,0,407,38952
42,2006,58634,1.6,0,1,165,56558
43,2017,40041,1.5,0,1,403,20713
44,2003,148320,4.6,2,1,85,33080
45,2013,95365,1.7,2,1,384,39646
46,2017,143275,3.3,3,1,340,65853
47,2008,61986,2.8,3,1,334,5829
48,2020,35370,3.8,0,0,85,26788
49,2001,45247,4.5,0,1,373,92873
50,2019,134403,4.4,1,0,444,19204
51,2014,129544,3.6,0,0,104,93369
52,2006,216994,3.3,1,0,98,17301
53,2011,141506,3.0,0,0,362,61619
54,2007,72982,5.3,0,0,404,63609
55,2014,75180,2.7,0,0,392,66312
56,2002,118534,2.3,3,0,104,66186
57,2013,175546,4.7,3,0,361,74111
58,2016,34644,2.8,3,1,379,14313
59,2003,48493,5.2,1,1,309,34821
60,2017,93824,2.6,1,0,414,35879
61,2007,145031,4.5,3,0,458,43152
62,2003,57289,1.2,1,1,179,18558
63,2001,152215,2.9,3,0,452,97130
64,2005,180665,2.7,2,1,137,27712
65,2021,180187,5.1,3,0,441,35265
66,2009,163612,5.8,2,0,369,47679
67,2003,45481,3.3,0,0,439,11926
68,2021,236577,5.1,1,0,389,19966
69,2017,87097,4.5,1,0,319,90436
70,2011,32578,5.8,3,1,409,21015
71,2001,153859,5.1,0,0,410,56058
72,2009,82048,1.4,0,0,175,6262
73,2003,193951,4.6,0,1,376,87477
74,2013,151668,3.7,0,0,234,67692
75,2015,238354,1.1,1,1,414,90282
76,2014,201741,2.3,3,1,79,70500
77,2007,161002,5.6,3,1,257,17353
78,2013,189022,5.6,2,0,57,85184
79,2022,105737,5.0,1,1,191,78583
80,2007,28687,5.9,2,0,353,21673
81,2020,193905,5.0,0,0,261,23658
82,2015,132540,1.1,3,0,333,58022
83,2012,177061,2.4,2,1,439,57747
84,2017,40183,1.2,1,1,463,53064
85,2014,30758,1.5,3,0,181,25654
86,2020,142154,2.1,1,0,405,82020
87,2012,248013,3.5,3,1,372,57864
88,2008,106368,5.2,1,0,443,22230
89,2014,55891,5.3,1,1,151,62026
90,2012,186882,4.1,3,0,332,81045
91,2000,56901,5.6,1,1,478,97499
92,2006,224584,3.5,1,1,124,48903
93,2008,113912,5.4,0,1,149,45241
94,2000,81062,3.3,3,1,281,9982
95,2011,237694,2.4,2,0,340,23303
96,2007,162635,5.6,3,1,285,45547
97,2010,82008,2.9,3,0,318,77432
98,2018,143847,3.5,0,1,425,22523
99,2016,156900,2.6,2,1,104,29227
100,2007,27974,4.3,2,0,303,27254
101,2002,163460,6.0,2,1,264,32522
102,2002,90591,1.1,1,0,348,69471
103,2000,28615,5.5,1,0,378,12177
104,2004,178958,1.0,1,1,373,31585
105,2009,32838,2.8,2,0,348,32186
106,2006,50728,1.8,3,0,345,79055
107,2008,126249,4.8,3,1,419,42934
108,2006,88000,1.3,2,0,208,18689
109,2008,62798,3.8,2,0,308,76490
110,2007,246972,2.5,0,1,277,22204
111,2011,213848,1.7,1,0,426,17084
112,2001,211550,4.9,1,1,194,58646
113,2000,160694,2.1,1,0,129,34108
114,2015,154608,2.1,0,1,88,49152
115,2022,208208,2.4,0,0,243,81585
116,2022,146772,3.9,0,0,246,29308
117,2004,179911,4.3,2,1,146,24162
118,2002,20248,1.1,0,0,295,20133
119,2011,55291,2.2,3,1,382,40450
