Edad,Ingreso_Anual,Deudas_Activas,Puntaje_Credito,Aprobado
58,75991,4,433,1
48,29716,0,763,0
34,53349,0,490,0
62,67098,3,462,1
27,20132,4,755,1
40,71990,4,360,0
58,88921,3,304,1
38,56538,4,336,0
42,27213,1,759,0
30,64223,2,516,1
30,88371,3,438,0
43,88274,0,398,1
55,24134,4,563,1
59,59601,1,523,1
43,93889,1,310,0
22,35690,2,626,1
41,21909,1,649,1
21,32062,4,678,0
43,95386,4,530,0
63,54731,1,440,1
49,25153,4,348,0
57,30481,4,750,1
21,86425,0,790,1
40,83600,3,504,0
52,91997,4,708,0
31,48205,4,706,0
41,64149,2,350,0
63,69112,3,474,1
44,30940,3,560,0
68,79010,3,779,0
46,96794,1,522,0
61,44485,0,568,1
47,21067,0,617,0
35,40607,2,684,1
34,81597,3,518,1
66,94554,3,353,0
63,68521,4,499,0
22,35187,1,638,1
56,23985,1,604,1
26,63052,2,544,0
40,39563,0,507,1
28,67322,3,810,0
58,81245,2,558,0
37,71514,1,679,1
23,38608,1,462,0
44,87262,1,640,1
33,91327,3,829,1
69,77225,3,333,1
28,93994,3,622,0
45,37221,4,480,0
21,68506,0,646,0
39,40968,1,491,0
47,47937,1,545,0
66,82435,4,544,1
26,69508,1,432,0
63,61831,1,496,1
27,62933,3,646,1
66,67307,3,348,1
54,68340,0,363,1
33,63601,1,403,0
36,95956,2,512,0
55,92178,1,816,1
69,48754,1,418,1
59,63310,0,541,0
23,89893,2,579,1
21,68367,1,723,1
25,33201,2,662,0
61,22739,3,605,0
23,33231,3,785,1
48,62495,2,613,0
37,41168,1,812,0
45,52624,2,466,0
63,30635,2,693,1
53,29964,3,362,1
29,47785,2,571,0
55,96928,4,336,0
33,32336,4,315,0
50,97475,3,642,0
67,47412,1,645,0
34,95379,1,838,0
27,65591,3,532,0
33,81750,1,715,1
42,55454,0,566,0
59,82672,4,625,0
40,47228,0,742,0
35,34429,0,375,1
64,87808,0,546,0
37,73015,3,612,1
66,88936,0,642,1
43,77378,2,481,1
45,57310,1,698,1
44,88827,3,540,0
64,55256,2,591,0
60,96428,2,353,1
48,58889,4,444,0
34,71428,4,655,0
64,57207,2,776,1
20,70255,4,321,1
44,25409,1,630,1
26,62438,1,591,1
28,27869,4,535,1
43,76862,0,328,1
20,45958,2,459,0
63,96302,1,829,1
27,39768,4,849,0
43,46145,4,400,1
30,95622,1,589,0
36,46442,1,676,0
27,45596,0,472,1
54,95791,4,642,0
54,62406,4,490,1
52,60524,3,738,1
24,43332,0,642,1
61,35764,1,424,0
58,47563,1,659,0
60,56370,2,802,1
47,25062,1,472,0
26,64645,4,693,0
28,27244,1,760,0
27,26372,4,419,1
31,84471,4,572,1
53,36956,0,657,0
52,60473,1,685,1
67,33894,0,618,1
42,89586,4,560,1
43,36709,1,580,0
56,35210,1,628,1
54,69510,0,423,0
63,58674,0,775,1
59,37733,4,577,1
41,40080,4,392,1
46,73412,1,846,0
54,78971,1,427,1
20,59709,3,831,0
54,79846,3,466,0
56,85480,2,535,1
66,72960,4,331,1
33,61152,2,530,0
22,47250,2,490,0
20,68137,0,807,0
24,66412,0,756,1
45,63876,3,554,1
33,93664,2,578,1
58,70227,3,355,0
46,52450,4,405,1
28,93704,1,491,1
34,26861,0,577,1
34,81914,4,843,1
45,83888,4,474,1
61,99286,0,384,1
32,81293,0,515,1
51,88515,2,313,0
58,43524,3,336,1
68,27065,4,326,1
51,57684,2,369,1
23,53365,2,453,0
49,78876,4,737,0
56,43704,4,570,1
42,77857,1,840,1
58,25622,3,373,1
64,99332,4,448,0
34,86201,0,805,0
62,52694,1,309,0
48,42995,3,801,0
55,28419,0,361,0
32,67952,0,687,1
51,53837,3,531,1
26,90799,1,827,0
41,68877,0,849,1
47,65687,2,744,1
21,57276,3,620,1
61,54523,3,382,1
64,86055,4,733,0
25,74615,1,316,0
47,30514,2,668,0
47,67456,2,554,1
63,27233,4,755,1
63,21102,0,832,0
39,86133,0,691,1
49,66715,2,619,0
30,26256,1,519,1
47,84800,0,713,0
44,61548,3,331,0
58,92090,4,315,0
52,98200,1,708,0
20,62367,0,472,1
46,90382,2,478,0
32,46205,4,796,1
60,45570,0,403,0
22,50255,2,616,0
58,41182,0,480,1
25,59373,4,431,1
27,63019,3,454,0
46,82619,3,658,1
28,36043,2,534,1
56,65532,3,464,0
52,85936,4,726,1
61,39239,2,787,0
63,30416,0,512,0
43,23412,1,456,1
34,44406,0,374,0
51,21875,4,734,0
51,57066,2,477,0
43,25752,0,611,1
60,98025,2,426,1
68,21353,3,676,0
68,46986,1,644,1
31,34691,4,524,0
58,89847,0,316,1
21,68075,1,796,1
22,30794,4,772,1
68,88470,4,610,1
56,36406,3,436,1
68,95930,2,774,0
36,46872,2,516,1
68,61708,1,495,0
21,40800,3,500,0
21,63397,4,665,0
47,57909,3,827,0
42,41352,3,699,1
56,35438,1,824,1
51,64999,2,513,0
52,38482,3,640,0
20,52471,3,628,0
38,67279,3,418,1
21,74213,0,724,0
63,33026,3,672,0
45,25435,3,478,1
51,28493,4,731,1
25,92227,0,701,0
51,79321,3,693,0
23,22763,3,378,1
30,40389,1,723,0
36,51498,1,417,0
57,83755,0,667,1
43,55825,4,405,1
24,36934,0,404,0
53,25574,0,602,0
25,58179,1,447,0
41,21587,1,449,1
30,62782,4,555,0
67,74412,3,381,1
35,80561,4,315,1
52,97224,3,492,1
28,24409,2,373,1
25,91319,1,576,0
35,46751,2,360,0
48,58174,2,835,0
22,76572,1,834,1
39,81416,2,642,1
55,32041,0,694,1
38,43227,3,557,0
45,55201,4,497,1
22,56069,1,352,1
38,46370,0,570,1
39,31586,4,500,1
51,70231,4,695,1
26,25322,4,677,1
60,85294,2,834,0
52,99468,2,387,0
59,49299,2,697,0
58,90793,2,481,0
37,66501,0,582,1
59,77134,2,832,1
20,29777,1,489,1
30,31249,4,504,0
47,41390,0,343,0
44,40369,2,599,0
69,32881,4,578,0
42,29587,0,684,1
50,94327,4,610,0
49,27833,0,827,0
61,67013,3,573,0
54,83620,0,781,1
26,35754,2,750,1
35,98113,4,831,0
45,55282,4,830,1
67,56737,4,824,1
68,44124,1,316,0
21,90102,1,329,0
20,22196,2,769,0
67,81527,3,603,0
31,31345,1,392,1
24,54077,0,461,0
56,86400,2,627,0
51,32055,3,553,0
28,64484,0,739,0
60,97514,4,843,1
54,55771,1,419,0
38,77654,0,813,0
67,66540,3,848,1
35,49377,2,396,0
22,69573,0,669,0
39,62733,2,716,0
43,31760,4,556,0
52,45762,3,427,0
43,70986,3,658,0
30,54332,1,455,0
68,60100,3,356,1
27,24944,0,375,0
55,68825,0,457,1
57,33877,0,384,0
59,49990,4,621,1
39,75283,3,608,1
54,23258,3,829,0
67,51629,0,583,1
44,57579,1,341,1
54,42958,1,433,0
44,59465,3,703,1
48,35775,3,792,0
37,96575,2,521,0
65,54207,3,528,1
37,42553,0,751,0
21,73632,4,605,1
54,20055,3,418,1
35,52873,3,623,1
60,86205,0,458,0
55,98199,2,538,1
52,45318,3,695,0
23,53734,1,619,0
52,38522,1,488,1
33,31656,1,608,1
40,35893,4,548,0
67,36493,4,837,1
39,23632,3,805,0
27,81779,3,693,1
26,58452,3,705,1
22,33266,4,480,0
36,81607,3,320,0
52,36940,0,454,1
67,44003,2,493,0
31,54815,1,523,1
41,50869,1,698,0
41,69297,0,579,0
65,80107,3,309,0
49,36682,4,675,0
57,39622,3,771,1
57,50408,3,451,0
64,28837,1,423,1
27,84210,1,723,1
46,35407,4,822,0
46,49309,1,812,1
53,91918,3,470,1
40,38895,0,424,1
49,20370,4,474,1
52,20486,0,803,0
47,43762,3,684,1
66,46613,4,405,0
52,23196,0,827,0
24,96349,4,337,1
67,84839,3,694,0
38,61916,4,776,1
23,28572,3,766,0
54,48225,4,804,0
68,65853,4,614,0
36,69390,1,584,1
63,52275,3,763,0
47,92379,2,563,0
49,21105,4,728,1
48,79896,0,664,0
65,63209,1,480,0
25,62487,1,543,1
54,38051,4,612,1
60,97400,2,375,0
56,86961,1,561,1
43,80156,3,530,0
48,77175,4,679,0
68,26849,4,608,1
65,38976,2,687,1
50,76866,3,624,0
54,67078,3,755,0
52,51113,2,811,0
40,35401,0,642,0
51,32884,3,815,1
42,57563,0,741,1
52,54414,0,848,0
22,36142,4,561,1
37,91492,4,762,1
44,99464,1,526,0
61,95257,4,822,1
50,96693,3,488,1
22,55135,3,508,0
59,92232,0,312,1
65,47862,3,461,1
43,25190,4,792,0
69,90199,4,734,0
51,24331,4,304,1
66,72186,2,501,1
41,64648,3,715,1
42,48549,1,311,0
21,45761,3,696,1
46,23262,3,640,0
61,71259,2,672,0
21,92572,3,677,0
45,73472,0,524,1
36,24677,4,481,0
59,93508,4,596,0
52,70617,2,606,0
28,38595,4,730,0
62,80148,0,417,0
67,66926,2,651,1
58,95271,1,345,1
48,54457,4,526,1
61,62531,3,655,0
45,93263,0,593,0
54,93300,0,539,1
69,83171,4,647,0
44,65771,1,440,1
43,86354,3,503,1
32,57289,1,568,1
26,53892,1,612,0
55,91196,4,717,0
64,58409,3,436,0
39,54470,4,650,1
20,38385,4,460,1
27,43296,0,472,1
65,81716,4,429,0
35,46382,2,378,1
33,96675,3,356,1
31,42419,0,699,0
42,59291,3,662,0
34,32397,0,634,1
47,77888,2,433,0
53,55169,4,313,0
21,82182,0,582,0
51,62249,0,720,1
42,48341,0,426,0
41,95603,2,517,0
44,66144,3,788,1
41,81772,2,559,1
41,99360,0,517,1
68,33444,0,788,0
61,65647,4,742,1
25,30974,2,398,1
34,58383,2,481,1
62,22956,1,468,0
56,28077,3,532,0
52,56490,1,392,0
27,75612,1,771,1
63,56159,3,815,1
63,59710,4,384,0
24,33806,4,818,0
58,98345,3,680,0
23,26458,3,706,0
25,55524,2,531,1
64,26853,2,550,1
51,60477,2,384,0
49,52222,2,618,0
66,38320,0,492,0
54,72243,0,599,1
59,65615,4,657,0
35,37352,0,752,1
32,92833,0,805,1
69,23203,2,364,1
61,59267,2,521,1
49,57941,3,765,1
38,45368,2,371,0
36,97186,3,773,1
38,50984,3,318,1
47,61941,0,821,0
45,92918,2,714,0
56,72683,0,663,0
45,20801,2,827,0
42,67965,0,379,0
28,29969,0,489,1
31,55969,0,447,1
20,52449,4,742,1
20,45705,0,564,1
66,80303,1,808,1
53,48363,1,600,1
51,50720,1,765,0
67,29972,3,664,1
44,53351,0,698,0
59,56145,1,792,1
64,76235,3,841,1
20,34855,1,779,1
35,56169,2,467,0
58,66404,4,390,0
24,39569,0,599,0
41,74437,4,473,0
48,68506,4,672,0
22,45738,2,323,0
31,26772,2,500,1
45,39731,2,306,0
35,30131,3,305,1
56,86324,1,460,0
41,74097,0,547,0
48,22889,2,465,1
33,29569,0,727,1
47,95677,0,444,0
24,97470,0,810,1
66,27612,2,842,1
68,71644,2,808,1
49,52069,1,519,1
65,47331,2,375,1
24,75897,2,618,1
31,33934,0,337,1
35,30095,1,813,1
