Monto,Frecuencia_Usuario,Sospechosa,Fraude
7271,34,0,1
861,2,0,0
5391,9,1,0
5192,19,1,0
5735,15,0,0
6266,21,0,1
467,16,0,0
4427,2,0,0
5579,26,1,0
8323,44,0,1
1686,29,0,0
770,33,0,1
6950,34,0,1
2434,46,1,0
5312,27,1,0
5052,7,1,0
6421,49,1,1
1185,15,0,0
4556,17,1,0
3386,9,1,0
6397,13,0,1
8667,32,1,0
9275,2,1,0
2559,32,1,0
7850,47,1,0
2048,20,1,0
2748,43,1,0
9168,19,0,0
9999,46,0,0
190,27,0,1
2735,36,0,0
3006,30,1,1
4659,11,1,0
1900,16,1,0
7735,26,1,0
1268,30,1,0
1529,2,0,0
3557,34,0,1
3891,41,0,0
8839,22,1,0
5394,31,0,0
8793,21,1,0
8434,36,0,0
7514,40,0,1
2613,23,1,0
7042,26,0,0
9556,18,1,0
6236,15,0,0
5487,34,1,0
7100,22,0,0
9671,28,1,0
776,43,0,0
8227,49,1,0
3153,7,0,1
1586,40,1,0
3944,42,1,0
7556,24,0,0
3074,35,1,0
1022,13,1,0
3844,49,1,1
7990,13,1,0
9693,31,1,0
6874,19,0,1
5676,29,0,0
162,22,0,0
4298,41,1,0
996,21,1,0
7630,16,1,1
9468,30,1,1
1017,5,1,0
7870,41,0,0
6440,41,1,0
7893,6,0,0
6864,21,0,0
7917,42,1,0
8530,11,1,0
879,24,0,0
9269,28,0,0
4888,15,1,0
4860,39,1,0
6332,46,0,1
8572,40,0,0
8685,47,0,0
7209,19,0,0
5277,17,0,0
2063,3,1,0
65,3,1,0
8007,39,1,0
2569,28,0,0
5464,31,1,0
2028,42,1,0
2696,49,1,0
9688,47,0,0
5259,8,1,0
5619,17,1,1
6737,35,0,0
392,36,1,0
5893,27,0,0
3562,40,0,0
6185,45,0,0
3100,33,0,0
6279,11,0,0
8393,21,1,0
3105,6,1,0
7216,48,1,0
2455,21,1,0
8997,28,0,1
2732,17,1,0
8155,18,1,0
9763,11,0,1
5057,46,0,0
8111,44,0,1
3841,25,1,0
1029,30,0,0
7386,25,0,0
503,7,0,1
6911,49,0,0
9063,37,1,0
6939,46,1,0
4489,27,0,0
207,26,1,0
5135,13,1,0
5978,24,0,0
7722,12,0,1
7036,14,1,0
1485,9,0,0
7859,31,1,1
864,4,0,0
2791,19,1,0
7409,1,1,0
8756,29,1,0
5117,45,1,0
6020,6,0,0
1758,1,0,1
7575,25,1,0
6375,27,0,0
6893,22,0,0
1679,17,1,0
3243,29,1,0
4637,3,1,0
1060,17,1,0
6669,2,1,0
9915,32,1,0
3158,22,1,0
5916,39,0,1
9790,33,0,0
2694,22,1,0
3628,47,0,0
9556,4,1,0
5451,38,1,1
1664,13,0,1
9722,23,1,0
5593,13,0,0
7393,20,1,1
1307,33,1,0
6777,34,0,0
5865,38,1,0
9475,29,1,1
7527,32,1,1
8902,11,1,0
5576,18,0,0
5531,45,0,0
4414,21,0,0
3749,12,0,0
664,39,0,1
1999,20,0,1
7995,7,1,0
1496,27,0,0
3305,7,0,0
3764,2,1,1
5233,43,0,0
1854,33,1,0
6586,21,1,0
1292,29,0,0
3582,32,1,0
7555,45,1,0
7281,12,0,0
1637,13,1,0
3697,39,0,0
699,44,1,0
4738,49,1,0
855,40,1,0
8165,3,0,0
5856,39,1,1
7393,8,0,0
6529,46,0,1
5250,46,0,0
5173,2,1,1
1708,6,1,0
5792,48,1,0
9926,41,0,0
5536,15,0,0
4932,47,0,0
3511,12,0,0
203,41,1,1
4219,48,0,1
8959,32,0,0
4390,6,1,0
2328,27,1,0
8005,47,0,1
2932,13,1,0
7778,23,0,1
198,10,1,0
7126,14,1,1
1931,3,1,0
6288,12,0,0
8801,25,1,0
9340,1,0,1
4283,32,0,0
2512,24,1,0
9987,48,0,0
660,42,0,0
2812,9,1,0
7099,1,1,1
6547,42,0,1
9562,39,0,0
1987,10,0,0
8339,44,0,0
2912,43,1,0
1735,41,0,1
1844,30,1,0
8681,5,0,0
2977,4,0,0
1960,45,1,0
5760,8,1,0
6695,16,1,1
2386,1,0,0
4737,49,1,0
1803,15,0,1
8156,24,0,0
8121,15,1,1
6617,6,0,1
5535,2,0,1
4062,5,0,0
263,39,1,0
6288,41,0,0
8816,34,0,0
9209,39,0,0
2050,32,0,0
5424,29,1,0
4549,29,1,0
3109,24,0,0
7159,46,0,0
7401,31,0,0
3171,24,0,0
9875,15,1,0
2256,12,1,0
1155,20,1,0
4500,4,1,0
6296,13,1,0
6198,41,1,0
9889,44,0,0
1649,10,0,0
5540,41,0,0
9638,23,1,0
4200,7,0,0
8446,12,0,0
2558,48,0,0
5593,15,1,1
99,7,1,1
2201,8,0,0
2962,7,0,0
4974,43,1,0
4434,4,1,0
2870,7,0,0
957,45,1,0
8353,41,1,1
5700,30,0,0
6945,18,0,0
4494,30,0,0
9493,7,1,0
4912,48,0,0
3988,23,0,0
9720,37,1,0
6016,7,1,0
1219,38,0,0
4497,29,0,0
4736,34,0,0
4556,39,1,0
9147,41,1,0
8051,45,0,1
3447,49,0,0
1046,49,1,0
6894,47,1,0
1694,18,0,0
3437,47,1,0
8755,43,1,0
5896,25,0,0
3355,27,1,0
226,27,1,0
4894,12,1,1
7023,23,1,1
9152,17,0,0
5601,44,1,0
7997,7,1,1
9008,24,0,0
7684,7,1,0
4643,29,0,0
7680,28,1,0
8209,23,1,0
7340,10,1,0
9436,16,0,1
2206,43,1,1
1070,48,0,1
3445,34,0,1
1061,25,1,1
2328,2,1,0
3421,5,0,0
302,14,0,0
607,31,0,0
3171,40,0,0
700,6,0,0
5089,28,0,0
9332,9,0,0
191,6,0,1
981,17,0,1
2976,40,1,1
6103,35,0,0
1185,12,0,0
3328,45,0,1
3395,18,0,0
8320,43,1,0
1817,34,0,1
5855,46,1,0
6710,1,1,0
570,15,1,0
5443,18,1,0
1896,22,0,0
2734,18,1,0
3864,49,0,0
7456,1,0,1
4015,46,0,0
1687,20,1,0
3010,48,1,0
7807,36,0,1
155,38,1,0
1410,25,1,0
785,16,1,0
8097,20,0,0
7561,38,1,0
7344,47,0,0
7207,33,1,0
5597,7,1,0
5802,23,1,0
2807,11,0,1
538,33,1,0
5987,40,0,0
1842,46,0,0
8717,5,1,0
6972,45,1,0
5626,47,0,0
2951,41,0,1
7993,8,1,0
4781,17,1,1
2369,18,1,0
6656,27,0,0
8174,31,1,0
4496,4,1,0
9164,2,0,0
6003,5,0,0
6615,17,1,0
9359,39,0,0
5920,32,0,0
854,29,1,1
4147,16,1,0
3770,1,0,0
575,12,0,0
1149,19,1,1
6294,9,1,0
6458,48,0,0
7510,7,0,1
9908,30,1,0
4778,15,1,1
3855,44,0,0
2492,4,0,0
3125,6,1,0
5692,38,1,0
3052,47,1,0
5,35,1,0
5223,2,0,0
5316,5,0,0
4870,8,1,1
877,30,1,0
9184,48,0,0
7028,19,1,0
4143,30,0,1
6967,31,1,0
7080,16,1,0
7988,38,0,0
6800,22,0,0
4466,33,0,0
636,22,1,1
1694,8,1,0
9875,37,0,0
4753,12,0,0
8312,5,1,0
831,25,0,0
5178,29,1,1
9562,13,0,0
8933,26,0,0
8309,22,1,0
5950,29,1,0
2839,12,0,0
1151,48,1,1
7561,46,1,0
1932,43,1,0
9205,28,0,0
1665,9,0,0
1082,10,1,1
513,48,1,1
7806,42,0,1
5238,26,1,0
560,36,0,0
3673,40,0,0
7405,11,0,0
3344,6,0,1
4071,4,0,0
9663,27,1,0
581,24,1,0
7005,5,1,0
8131,3,0,0
3148,7,0,1
4250,24,1,1
1680,22,1,0
3507,12,0,0
7254,35,0,0
2745,17,1,1
9436,3,1,0
5189,11,0,0
2142,6,0,1
6618,43,0,0
2480,36,0,1
6485,17,0,0
9828,22,1,1
7422,1,0,0
